Resp_Pix_NPix;ValorRecebido_Cat;ValorPgto_DivMedia;Flag_Parcel;Seq;Status_Negativacao;Pgto_Atrasado;Dias_Atraso;Dias_Atraso_DivMedia;Dias_Atraso_Cat;Meio_Arrecadacao;Flag_Baixa_Renda;Tarifa_Social;Zona_Urb;Mun_Litoraneo;Tipo_Imovel;Qtd_Cortes_12M;Qtd_Reclam_12M;Empresa
0;< 25 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;3;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;4;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;1;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;3;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;4;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;1;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;3;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;4;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;1;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
1;< 25 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
1;< 25 REAIS;1,0;0;3;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;1;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;0;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,1;0;1;N;1;11,0;0,6;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,0;0;2;N;1;14,0;0,7;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,0;0;3;N;1;22,0;1,2;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;0,9;0;4;N;1;19,0;1,0;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,0;0;5;N;1;28,0;1,5;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;0,8;0;1;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;201-500 REAIS;1,7;0;3;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;0,5;0;4;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
1;76-100 REAIS;1,0;0;1;N;1;30,0;1,3;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
1;76-100 REAIS;1,0;0;2;N;1;20,0;0,8;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;3;N;1;21,0;0,9;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,0;0;1;N;0;0,0;1,0;A VENCER;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,0;0;3;N;0;0,0;1,0;A VENCER;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;0,9;0;4;N;0;0,0;1,0;A VENCER;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,0;0;1;N;1;10,0;0,4;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;1;RESIDENCIAL;0;0;NCSR
1;51-75 REAIS;1,0;0;2;N;1;43,0;1,6;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;1;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;1,2;0;3;N;0;0,0;0,0;A VENCER;DIGITAL;1;1;1;1;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;1,2;0;4;N;0;0,0;0,0;A VENCER;DIGITAL;1;1;1;1;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;1,0;0;5;N;0;0,0;0,0;A VENCER;DIGITAL;1;1;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;0;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;1,0;0;3;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,4;0;4;N;1;17,0;1,0;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,4;0;5;N;1;39,0;2,2;31-60 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;1,3;0;6;N;1;49,0;2,8;31-60 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;0,7;0;4;N;0;0,0;1,0;A VENCER;DIGITAL;0;0;0;0;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,1;0;5;N;1;18,0;1,7;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,2;0;1;N;1;54,0;1,1;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;0,9;0;2;N;1;45,0;0,9;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;4;N;1;44,0;0,9;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;+ 500 REAIS;1,3;0;2;N;1;19,0;1,2;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;0;RURAL;0;0;NCSR
0;101-200 REAIS;1,0;0;2;N;1;37,0;1,0;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;2;N;1;27,0;2,4;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;3;N;1;7,0;0,6;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,1;0;1;N;1;12,0;0,9;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,2;0;2;N;1;12,0;0,9;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,1;0;4;N;1;12,0;0,9;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,0;0;4;N;1;38,0;1,3;31-60 DIAS DE ATRASO;DIGITAL;0;0;0;0;RURAL;0;0;NCSR
0;26 - 50 REAIS;1,0;0;1;N;1;12,0;0,5;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;1,2;0;2;N;1;41,0;1,7;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;1;N;1;8,0;1,1;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,1;0;2;N;1;11,0;1,5;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;3;N;1;3,0;0,4;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,1;0;2;N;0;0,0;1,0;A VENCER;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,2;0;4;N;1;33,0;1,6;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,1;0;1;N;1;5,0;0,3;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,9;0;1;N;1;31,0;1,1;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,4;0;2;N;1;24,0;0,8;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;0,1;0;1;N;1;7,0;0,1;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;0;RESIDENCIAL;0;0;NCSR
0;+ 500 REAIS;1,1;0;1;N;1;23,0;1,0;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;0,7;0;2;N;1;22,0;1,0;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;0,7;0;3;N;1;23,0;1,0;1-30 DIAS DE ATRASO;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;1,7;0;3;S;0;0,0;0,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;< 25 REAIS;0,9;0;1;N;0;0,0;0,0;A VENCER;DIGITAL;1;0;0;0;RESIDENCIAL;0;0;NCSR
0;+ 500 REAIS;0,9;0;3;N;0;0,0;0,0;A VENCER;DIGITAL;0;0;1;0;COMERCIAL;0;0;NCSR
0;26 - 50 REAIS;0,9;0;4;N;1;15,0;2,4;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;0;COMERCIAL;0;0;NCSR
0;51-75 REAIS;1,1;0;1;N;0;0,0;0,0;A VENCER;DIGITAL;1;0;1;1;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,1;0;3;N;1;7,0;0,7;1-30 DIAS DE ATRASO;DIGITAL;0;0;0;0;RURAL;0;0;NCSR
0;26 - 50 REAIS;0,9;0;4;N;1;32,0;2,4;31-60 DIAS DE ATRASO;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,1;0;5;N;0;0,0;0,0;A VENCER;DIGITAL;1;0;1;0;RESIDENCIAL;0;0;NCSR
0;26 - 50 REAIS;2,6;0;1;N;1;199,0;1,4;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;< 25 REAIS;1,2;0;2;N;1;260,0;1,9;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;< 25 REAIS;0,6;0;3;N;1;108,0;0,8;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;< 25 REAIS;0,4;0;4;N;1;140,0;1,0;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;< 25 REAIS;0,3;0;5;N;1;169,0;1,2;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;< 25 REAIS;0,7;0;6;N;1;78,0;0,6;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;< 25 REAIS;0,4;0;7;N;1;15,0;0,1;1-30 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;< 25 REAIS;0,4;0;8;N;1;45,0;0,3;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;26 - 50 REAIS;2,6;0;9;N;1;231,0;1,7;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;2;0;NCSR
0;51-75 REAIS;0,5;0;1;N;0;0,0;0,0;A VENCER;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;101-200 REAIS;0,8;0;3;N;1;3,0;0,2;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;51-75 REAIS;1,0;0;2;N;1;28,0;1,1;1-30 DIAS DE ATRASO;DIGITAL;1;1;0;0;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,5;0;1;N;0;;;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;3;0;NCSR
0;101-200 REAIS;1,6;0;2;N;0;;;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;3;0;NCSR
0;101-200 REAIS;1,6;0;3;N;0;;;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;3;0;NCSR
0;< 25 REAIS;0,1;0;4;N;1;57,0;0,8;31-60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;3;0;NCSR
0;< 25 REAIS;0,1;0;5;N;1;87,0;1,2;+ 60 DIAS DE ATRASO;DIGITAL;1;1;1;0;RESIDENCIAL;3;0;NCSR
0;201-300 REAIS;1,1;0;1;N;1;14,0;0,7;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;201-300 REAIS;1,0;0;2;N;1;35,0;1,8;31-60 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;201-300 REAIS;0,9;0;3;N;1;16,0;0,8;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;201-300 REAIS;1,0;0;4;N;1;14,0;0,7;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;1;RESIDENCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;1;N;1;56,0;0,9;31-60 DIAS DE ATRASO;DIGITAL;0;0;1;0;COMERCIAL;0;0;NCSR
0;+ 500 REAIS;1,0;0;2;N;1;86,0;1,3;+ 60 DIAS DE ATRASO;DIGITAL;0;0;1;0;COMERCIAL;0;0;NCSR
0;101-200 REAIS;1,1;0;3;N;1;23,0;0,4;1-30 DIAS DE ATRASO;DIGITAL;0;0;1;0;COMERCIAL;0;0;NCSR
0;76-100 REAIS;1,0;0;4;N;1;63,0;1,0;+ 60 DIAS DE ATRASO;DIGITAL;0;0;1;0;COMERCIAL;0;0;NCSR
